Date	DJ30
17/06/2020	26119.61
18/06/2020	26080.10
19/06/2020	25871.46
22/06/2020	26024.96
23/06/2020	26156.10
24/06/2020	25445.94
25/06/2020	25745.60
26/06/2020	25015.55
29/06/2020	25595.80
30/06/2020	25812.88
01/07/2020	25734.97
02/07/2020	25827.36
06/07/2020	26287.03
07/07/2020	25890.18
08/07/2020	26067.28
09/07/2020	25706.09
10/07/2020	26075.30
13/07/2020	26085.80
14/07/2020	26642.59
15/07/2020	26870.10
16/07/2020	26734.71
17/07/2020	26671.95
20/07/2020	26680.87
21/07/2020	26840.40
22/07/2020	27005.84
23/07/2020	26652.33
24/07/2020	26469.89
27/07/2020	26584.77
28/07/2020	26379.28
29/07/2020	26539.57
30/07/2020	26313.65
31/07/2020	26428.32
03/08/2020	26664.40
04/08/2020	26828.47
05/08/2020	27201.52
06/08/2020	27386.98
07/08/2020	27433.48
10/08/2020	27791.44
11/08/2020	27686.91
12/08/2020	27976.84
13/08/2020	27896.72
14/08/2020	27931.02
17/08/2020	27844.91
18/08/2020	27778.07
19/08/2020	27692.88
20/08/2020	27739.73
21/08/2020	27930.33
24/08/2020	28308.46
25/08/2020	28248.44
26/08/2020	28331.92
27/08/2020	28492.27
28/08/2020	28653.87
31/08/2020	28430.05
01/09/2020	28645.66
02/09/2020	29100.50
03/09/2020	28292.73
04/09/2020	28133.31
08/09/2020	27500.89
09/09/2020	27940.47
10/09/2020	27534.58
11/09/2020	27665.64
14/09/2020	27993.33
15/09/2020	27995.60
16/09/2020	28032.38
17/09/2020	27901.98
18/09/2020	27657.42
21/09/2020	27147.70
22/09/2020	27288.18
23/09/2020	26763.13
24/09/2020	26815.44
25/09/2020	27173.96
28/09/2020	27584.06
29/09/2020	27452.66
30/09/2020	27781.70
01/10/2020	27816.90
02/10/2020	27682.81
05/10/2020	28148.64
06/10/2020	27772.76
07/10/2020	28303.46
08/10/2020	28425.51
09/10/2020	28586.90
12/10/2020	28837.52
13/10/2020	28679.81
14/10/2020	28514.00
15/10/2020	28494.20
16/10/2020	28606.31
19/10/2020	28195.42
20/10/2020	28308.79
21/10/2020	28210.82
22/10/2020	28363.66
23/10/2020	28335.57
26/10/2020	27685.38
27/10/2020	27463.19
28/10/2020	26519.95
29/10/2020	26659.11
30/10/2020	26501.60
02/11/2020	26925.05
03/11/2020	27480.03
04/11/2020	27847.66
05/11/2020	28390.18
06/11/2020	28323.40
09/11/2020	29157.97
10/11/2020	29420.92
11/11/2020	29397.63
12/11/2020	29080.17
13/11/2020	29479.81
16/11/2020	29950.44
17/11/2020	29783.35
18/11/2020	29438.42
19/11/2020	29483.23
20/11/2020	29263.48
23/11/2020	29591.27
24/11/2020	30046.24
25/11/2020	29872.47
27/11/2020	29910.37
30/11/2020	29638.64
01/12/2020	29823.92
02/12/2020	29883.79
03/12/2020	29969.52
04/12/2020	30218.26
07/12/2020	30069.79
08/12/2020	30173.88
09/12/2020	30068.81
10/12/2020	29999.26
11/12/2020	30046.37
14/12/2020	29861.55
15/12/2020	30199.31
16/12/2020	30154.54
17/12/2020	30303.37
18/12/2020	30179.05
21/12/2020	30216.45
22/12/2020	30015.51
23/12/2020	30129.83
24/12/2020	30199.87
28/12/2020	30403.97
29/12/2020	30335.67
30/12/2020	30409.56
31/12/2020	30606.48
04/01/2021	30223.89
05/01/2021	30391.60
06/01/2021	30829.40
07/01/2021	31041.13
08/01/2021	31097.97
11/01/2021	31008.69
12/01/2021	31068.69
13/01/2021	31060.47
14/01/2021	30991.52
15/01/2021	30814.26
19/01/2021	30930.52
20/01/2021	31188.38
21/01/2021	31176.01
22/01/2021	30996.98
25/01/2021	30960.00
26/01/2021	30937.04
27/01/2021	30303.17
28/01/2021	30603.36
29/01/2021	29982.62
01/02/2021	30211.91
02/02/2021	30687.48
03/02/2021	30723.60
04/02/2021	31055.86
05/02/2021	31148.24
